TIPO_CTE,INGRESO_INFERIDO,NIVEL_RIESGO,SOLICITUDES_RECHAZADAS,SCORE_CLIENTE,SCORE_COMPORTAMIENTO,EDAD,TIPO_VIVIENDA,ESCOLARIDAD
REGULAR,11909,Medio ,0,239,688,25,Propia,Preparatoria
BUENO,12121,Mínimo,0,240,766,25,Propia,Posgrado
REGULAR,12017,Mínimo,0,246,795,25,Familiares,Licenciatura
REGULAR,11334,Medio ,0,250,695,25,Familiares,Preparatoria
BUENO,12271,Mínimo,0,252,753,25,Renta,Posgrado
BUENO,12506,Bajo,0,270,710,25,Propia,Posgrado
MALO,10890,Alto,5,89,0,26,Propia,Preparatoria
MALO,12743,Alto,4,89,0,26,Renta,Licenciatura
MALO,12727,Alto,5,89,0,26,Renta,Posgrado
MALO,12737,Alto,4,89,0,26,Propia,Preparatoria
MALO,12014,Alto,3,90,0,26,Renta,Licenciatura
MALO,13130,Alto,1,90,0,26,Propia,Licenciatura
MALO,13131,Alto,3,90,0,26,Renta,Posgrado
MALO,11543,Alto,3,90,0,26,Familiares,Licenciatura
MALO,13507,Alto,2,90,0,26,Hipoteca,Licenciatura
MALO,13617,Alto,4,90,0,26,Familiares,Posgrado
MALO,13374,Alto,5,90,0,26,Renta,Licenciatura
MALO,12735,Alto,5,91,0,26,Familiares,Preparatoria
MALO,14049,Alto,4,91,0,26,Renta,Licenciatura
MALO,13787,Alto,4,91,0,26,Renta,Preparatoria
MALO,12236,Alto,4,91,0,26,Propia,Posgrado
MALO,10890,Alto,5,92,0,26,Propia,Licenciatura
MALO,14571,Alto,4,92,0,26,Renta,Posgrado
MALO,14043,Alto,4,92,0,26,Renta,Posgrado
MALO,13499,Alto,5,92,0,26,Propia,Licenciatura
MALO,14892,Alto,4,92,0,26,Hipoteca,Preparatoria
MALO,14753,Alto,4,92,0,26,Hipoteca,Licenciatura
MALO,12848,Alto,3,92,0,26,Propia,Preparatoria
MALO,11543,Alto,1,93,0,26,Hipoteca,Licenciatura
MALO,15445,Alto,4,93,0,26,Renta,Posgrado
MALO,15026,Alto,4,93,0,26,Propia,Posgrado
MALO,14174,Alto,2,93,0,26,Renta,Posgrado
MALO,10890,Alto,2,93,0,26,Propia,Preparatoria
MALO,15785,Alto,4,94,0,26,Propia,Preparatoria
MALO,13490,Alto,4,94,0,26,Familiares,Posgrado
MALO,12236,Alto,3,94,0,26,Familiares,Licenciatura
MALO,16372,Alto,3,94,0,26,Renta,Preparatoria
MALO,15327,Alto,3,94,0,26,Familiares,Licenciatura
MALO,14599,Alto,3,94,0,26,Hipoteca,Preparatoria
MALO,10999,Alto,4,94,0,26,Hipoteca,Licenciatura
MALO,16259,Alto,5,94,0,26,Familiares,Preparatoria
MALO,14030,Alto,3,95,0,26,Propia,Posgrado
MALO,12481,Alto,1,95,0,26,Familiares,Preparatoria
MALO,16863,Alto,3,95,0,26,Propia,Preparatoria
MALO,15480,Alto,2,95,0,26,Hipoteca,Licenciatura
MALO,15037,Alto,5,95,0,26,Hipoteca,Preparatoria
MALO,11439,Alto,3,96,0,26,Hipoteca,Posgrado
MALO,16584,Alto,3,96,0,26,Familiares,Posgrado
MALO,14451,Alto,2,96,0,26,Familiares,Preparatoria
MALO,12606,Alto,3,96,0,26,Propia,Posgrado
MALO,17369,Alto,4,96,0,26,Renta,Preparatoria
MALO,16099,Alto,4,96,0,26,Hipoteca,Licenciatura
MALO,15338,Alto,3,96,0,26,Propia,Preparatoria
MALO,11782,Alto,5,96,0,26,Renta,Posgrado
MALO,16750,Alto,2,97,0,26,Renta,Posgrado
MALO,14884,Alto,2,97,0,26,Renta,Preparatoria
MALO,13110,Alto,2,97,0,26,Familiares,Preparatoria
MALO,17716,Alto,4,97,0,26,Renta,Licenciatura
MALO,16582,Alto,5,97,0,26,Propia,Posgrado
MALO,15491,Alto,5,97,0,26,Familiares,Licenciatura
MALO,12135,Alto,5,97,0,26,Hipoteca,Preparatoria
MALO,16934,Alto,3,98,0,26,Propia,Licenciatura
MALO,15078,Alto,3,98,0,26,Hipoteca,Posgrado
MALO,13306,Alto,3,98,0,26,Hipoteca,Posgrado
MALO,17897,Alto,3,98,0,26,Hipoteca,Licenciatura
MALO,16764,Alto,2,98,0,26,Propia,Preparatoria
MALO,15692,Alto,4,98,0,26,Hipoteca,Posgrado
MALO,12318,Alto,5,99,0,26,Renta,Secundaria
MALO,17107,Alto,5,99,0,26,Propia,Licenciatura
MALO,15244,Alto,3,100,0,26,Propia,Posgrado
MALO,13479,Alto,4,100,0,26,Hipoteca,Licenciatura
MALO,18165,Alto,2,100,0,26,Familiares,Posgrado
MALO,16935,Alto,2,100,0,26,Renta,Posgrado
MALO,15865,Alto,4,100,0,26,Renta,Preparatoria
MALO,12478,Alto,1,100,0,26,Renta,Preparatoria
MALO,17363,Alto,2,100,0,26,Renta,Licenciatura
MALO,15399,Alto,3,101,0,26,Familiares,Licenciatura
MALO,13628,Alto,2,101,0,26,Propia,Posgrado
MALO,18401,Alto,0,101,0,26,Renta,Posgrado
MALO,17189,Alto,0,101,0,26,Hipoteca,Licenciatura
MALO,16027,Alto,0,120,0,26,Familiares,Licenciatura
MALO,12615,Alto,1,133,0,26,Familiares,Licenciatura
MALO,17589,Alto,0,134,0,26,Propia,Posgrado
MALO,15630,Alto,0,134,0,26,Hipoteca,Licenciatura
MALO,13767,Alto,3,145,0,26,Familiares,Licenciatura
MALO,18604,Alto,3,154,0,26,Familiares,Licenciatura
REGULAR,17413,Mínimo,0,178,790,26,Hipoteca,Preparatoria
BUENO,16267,Mínimo,1,186,764,26,Renta,Licenciatura
REGULAR,12744,Medio ,0,191,683,26,Hipoteca,Licenciatura
BUENO,17783,Bajo,0,191,704,26,Hipoteca,Preparatoria
BUENO,15833,Mínimo,0,195,775,26,Renta,Posgrado
BUENO,13973,Mínimo,0,197,755,26,Hipoteca,Preparatoria
REGULAR,18793,Medio ,0,198,691,26,Propia,Licenciatura
BUENO,17605,Bajo,0,199,750,26,Familiares,Licenciatura
REGULAR,16479,Bajo,0,206,723,26,Familiares,Preparatoria
REGULAR,12935,Medio ,0,208,668,26,Propia,Preparatoria
REGULAR,17964,Mínimo,0,208,792,26,Renta,Preparatoria
REGULAR,16007,Mínimo,0,209,789,26,Renta,Licenciatura
BUENO,14155,Bajo,0,211,718,26,Renta,Preparatoria
REGULAR,19075,Mínimo,0,215,784,26,Renta,Preparatoria
BUENO,17784,Mínimo,0,216,756,26,Familiares,Licenciatura
BUENO,16660,Bajo,0,225,723,26,Familiares,Posgrado
BUENO,13103,Bajo,0,227,705,26,Propia,Licenciatura
BUENO,18234,Bajo,0,228,737,26,Hipoteca,Licenciatura
BUENO,16171,Mínimo,0,234,766,26,Propia,Licenciatura
REGULAR,14311,Mínimo,0,237,788,26,Renta,Preparatoria
BUENO,19323,Bajo,0,238,723,26,Hipoteca,Preparatoria
REGULAR,18051,Bajo,0,239,744,26,Renta,Licenciatura
REGULAR,16830,Mínimo,0,240,770,26,Propia,Preparatoria
BUENO,13247,Bajo,0,245,706,26,Propia,Preparatoria
REGULAR,18471,Mínimo,0,248,793,26,Familiares,Preparatoria
BUENO,16413,Bajo,0,249,744,26,Familiares,Preparatoria
MALO,14325,Alto,5,89,0,27,Familiares,Licenciatura
MALO,19362,Alto,5,89,0,27,Propia,Licenciatura
MALO,18105,Alto,5,89,0,27,Propia,Licenciatura
MALO,16847,Alto,4,89,0,27,Propia,Licenciatura
MALO,13273,Alto,5,89,0,27,Renta,Licenciatura
MALO,18526,Alto,5,89,0,27,Hipoteca,Licenciatura
MALO,16430,Alto,4,89,0,27,Familiares,Posgrado
MALO,14353,Alto,2,90,0,27,Renta,Licenciatura
MALO,19420,Alto,3,90,0,27,Propia,Posgrado
MALO,18123,Alto,3,90,0,27,Renta,Preparatoria
MALO,16880,Alto,3,90,0,27,Hipoteca,Posgrado
MALO,13313,Alto,2,90,0,27,Hipoteca,Posgrado
MALO,18544,Alto,2,91,0,27,Familiares,Posgrado
MALO,16463,Alto,2,92,0,27,Propia,Posgrado
MALO,14397,Alto,2,92,0,27,Hipoteca,Preparatoria
MALO,19440,Alto,1,92,0,27,Hipoteca,Preparatoria
MALO,18159,Alto,5,92,0,27,Hipoteca,Preparatoria
MALO,16931,Alto,4,92,0,27,Propia,Posgrado
MALO,13327,Alto,3,92,0,27,Renta,Posgrado
MALO,18582,Alto,1,93,0,27,Familiares,Posgrado
MALO,16512,Alto,5,93,0,27,Familiares,Licenciatura
MALO,14411,Alto,5,93,0,27,Familiares,Secundaria
MALO,19478,Alto,2,93,0,27,Familiares,Preparatoria
MALO,18214,Alto,3,93,0,27,Propia,Preparatoria
MALO,16948,Alto,3,93,0,27,Familiares,Licenciatura
MALO,13353,Alto,3,93,0,27,Propia,Licenciatura
MALO,18637,Alto,4,93,0,27,Propia,Preparatoria
MALO,16528,Alto,4,94,0,27,Renta,Preparatoria
MALO,14440,Alto,5,94,0,27,Hipoteca,Posgrado
MALO,19537,Alto,2,94,0,27,Propia,Preparatoria
MALO,18232,Alto,2,94,0,27,Familiares,Preparatoria
MALO,16982,Alto,2,94,0,27,Hipoteca,Posgrado
MALO,13393,Alto,3,94,0,27,Propia,Preparatoria
MALO,18656,Alto,4,94,0,27,Propia,Preparatoria
MALO,16561,Alto,3,95,0,27,Propia,Licenciatura
MALO,14483,Alto,3,95,0,27,Familiares,Posgrado
MALO,19556,Alto,5,95,0,27,Propia,Preparatoria
MALO,18268,Alto,5,95,0,27,Familiares,Licenciatura
MALO,17033,Alto,5,95,0,27,Familiares,Posgrado
MALO,13407,Alto,5,95,0,27,Hipoteca,Preparatoria
MALO,18693,Alto,4,95,0,27,Hipoteca,Preparatoria
MALO,16611,Alto,1,96,0,27,Renta,Licenciatura
MALO,14498,Alto,2,96,0,27,Renta,Posgrado
MALO,19595,Alto,4,96,0,27,Propia,Preparatoria
MALO,18323,Alto,3,96,0,27,Renta,Posgrado
MALO,17050,Alto,3,96,0,27,Hipoteca,Licenciatura
MALO,13434,Alto,5,96,0,27,Hipoteca,Preparatoria
MALO,18749,Alto,3,97,0,27,Hipoteca,Preparatoria
MALO,16628,Alto,1,97,0,27,Hipoteca,Licenciatura
MALO,14527,Alto,2,97,0,27,Familiares,Licenciatura
MALO,19654,Alto,5,97,0,27,Renta,Posgrado
MALO,18342,Alto,4,98,0,27,Familiares,Preparatoria
MALO,17084,Alto,4,98,0,27,Renta,Posgrado
MALO,13474,Alto,4,99,0,27,Renta,Preparatoria
MALO,18768,Alto,3,99,0,27,Propia,Licenciatura
MALO,16661,Alto,3,99,0,27,Hipoteca,Licenciatura
MALO,14570,Alto,3,99,0,27,Propia,Preparatoria
MALO,19674,Alto,5,99,0,27,Familiares,Licenciatura
MALO,18378,Alto,4,99,0,27,Renta,Preparatoria
MALO,17135,Alto,2,100,0,27,Renta,Preparatoria
MALO,13487,Alto,3,100,0,27,Familiares,Posgrado
MALO,18806,Alto,2,100,0,27,Familiares,Preparatoria
MALO,16711,Alto,3,100,0,27,Familiares,Licenciatura
MALO,14585,Alto,3,101,0,27,Hipoteca,Preparatoria
MALO,19713,Alto,2,101,0,27,Hipoteca,Preparatoria
MALO,18433,Alto,1,101,0,27,Familiares,Posgrado
MALO,17152,Alto,0,101,0,27,Hipoteca,Preparatoria
MALO,13514,Alto,2,101,0,27,Propia,Preparatoria
MALO,18862,Alto,0,120,0,27,Hipoteca,Posgrado
MALO,16728,Alto,0,120,0,27,Renta,Preparatoria
MALO,14614,Alto,0,122,0,27,Renta,Preparatoria
MALO,19772,Alto,0,123,0,27,Propia,Licenciatura
MALO,18452,Alto,2,124,0,27,Hipoteca,Licenciatura
BUENO,17187,Bajo,2,145,726,27,Renta,Posgrado
MALO,13555,Alto,1,147,0,27,Renta,Preparatoria
REGULAR,18881,Medio ,0,185,694,27,Familiares,Licenciatura
REGULAR,16761,Mínimo,0,190,780,27,Propia,Posgrado
BUENO,14658,Bajo,0,191,723,27,Familiares,Preparatoria
BUENO,19792,Mínimo,0,192,751,27,Familiares,Licenciatura
BUENO,18489,Bajo,0,193,743,27,Familiares,Licenciatura
REGULAR,17238,Mínimo,1,193,793,27,Hipoteca,Preparatoria
REGULAR,13568,Medio ,0,197,697,27,Hipoteca,Posgrado
BUENO,18919,Bajo,0,198,704,27,Familiares,Posgrado
BUENO,16811,Mínimo,0,198,765,27,Propia,Preparatoria
BUENO,14672,Mínimo,0,202,756,27,Propia,Preparatoria
REGULAR,19832,Bajo,0,204,704,27,Hipoteca,Posgrado
BUENO,18544,Bajo,0,204,726,27,Propia,Preparatoria
REGULAR,17255,Medio ,0,205,694,27,Familiares,Licenciatura
REGULAR,13596,Bajo,0,209,744,27,Propia,Preparatoria
BUENO,18975,Bajo,0,210,718,27,Familiares,Preparatoria
REGULAR,16828,Mínimo,0,210,804,27,Propia,Posgrado
BUENO,14702,Bajo,0,211,750,27,Familiares,Preparatoria
BUENO,19891,Bajo,0,213,725,27,Hipoteca,Posgrado
BUENO,18563,Bajo,0,214,707,27,Hipoteca,Preparatoria
BUENO,17290,Bajo,0,214,727,27,Renta,Preparatoria
REGULAR,13636,Medio ,0,217,699,27,Propia,Posgrado
BUENO,18994,Bajo,0,218,717,27,Propia,Posgrado
REGULAR,16862,Alto,0,222,580,27,Hipoteca,Licenciatura
BUENO,14746,Mínimo,0,224,757,27,Hipoteca,Posgrado
REGULAR,19911,Medio ,0,225,699,27,Renta,Preparatoria
REGULAR,18600,Medio ,0,227,689,27,Familiares,Licenciatura
BUENO,17342,Bajo,0,230,738,27,Familiares,Preparatoria
REGULAR,13650,Mínimo,0,230,793,27,Renta,Preparatoria
REGULAR,19032,Bajo,0,231,731,27,Renta,Preparatoria
REGULAR,16912,Mínimo,0,233,787,27,Propia,Licenciatura
BUENO,14761,Bajo,0,234,730,27,Propia,Licenciatura
BUENO,19951,Bajo,0,235,706,27,Familiares,Posgrado
BUENO,18656,Bajo,0,235,748,27,Propia,Licenciatura
REGULAR,17359,Mínimo,0,235,792,27,Propia,Licenciatura
BUENO,13677,Bajo,0,236,740,27,Renta,Preparatoria
BUENO,19089,Mínimo,0,238,756,27,Renta,Posgrado
BUENO,16929,Mínimo,0,238,757,27,Hipoteca,Licenciatura
BUENO,14790,Bajo,0,242,703,27,Propia,Preparatoria
REGULAR,20011,Mínimo,0,242,757,27,Renta,Preparatoria
REGULAR,18674,Medio ,0,243,685,27,Propia,Posgrado
BUENO,17394,Mínimo,0,246,761,27,Familiares,Preparatoria
REGULAR,13718,Bajo,0,250,750,27,Hipoteca,Posgrado
BUENO,19109,Bajo,0,251,740,27,Familiares,Licenciatura
BUENO,16963,Bajo,0,254,750,27,Familiares,Preparatoria
BUENO,14834,Bajo,0,261,702,27,Propia,Licenciatura
REGULAR,20031,Mínimo,0,264,802,27,Hipoteca,Preparatoria
REGULAR,18712,Medio ,0,266,684,27,Propia,Preparatoria
REGULAR,17446,Mínimo,0,276,774,27,Propia,Posgrado
BUENO,13732,Bajo,0,279,740,27,Familiares,Preparatoria
MALO,19147,Alto,5,89,0,28,Renta,Licenciatura
MALO,17014,Alto,5,89,0,28,Propia,Licenciatura
MALO,14849,Alto,4,89,0,28,Hipoteca,Preparatoria
MALO,20071,Alto,4,89,0,28,Familiares,Posgrado
MALO,18768,Alto,5,89,0,28,Renta,Preparatoria
MALO,17464,Alto,3,90,0,28,Propia,Posgrado
MALO,13759,Alto,2,90,0,28,Familiares,Posgrado
MALO,19204,Alto,2,90,0,28,Propia,Posgrado
MALO,17031,Alto,3,90,0,28,Familiares,Preparatoria
MALO,14879,Alto,2,90,0,28,Hipoteca,Posgrado
MALO,20131,Alto,5,90,0,28,Familiares,Posgrado
MALO,18787,Alto,4,91,0,28,Familiares,Posgrado
MALO,17498,Alto,2,91,0,28,Hipoteca,Posgrado
MALO,13801,Alto,2,91,0,28,Familiares,Posgrado
MALO,19223,Alto,1,91,0,28,Hipoteca,Licenciatura
MALO,17065,Alto,4,91,0,28,Hipoteca,Posgrado
MALO,14924,Alto,2,91,0,28,Hipoteca,Licenciatura
MALO,20151,Alto,5,91,0,28,Familiares,Preparatoria
MALO,18824,Alto,5,91,0,28,Familiares,Licenciatura
MALO,17551,Alto,3,92,0,28,Propia,Licenciatura
MALO,13815,Alto,2,92,0,28,Hipoteca,Licenciatura
MALO,19262,Alto,1,92,0,28,Hipoteca,Preparatoria
MALO,17116,Alto,4,92,0,28,Familiares,Licenciatura
MALO,14939,Alto,2,92,0,28,Hipoteca,Posgrado
MALO,20192,Alto,4,93,0,28,Familiares,Licenciatura
MALO,18881,Alto,5,93,0,28,Familiares,Licenciatura
MALO,17568,Alto,2,93,0,28,Hipoteca,Posgrado
MALO,13842,Alto,4,94,0,28,Propia,Preparatoria
MALO,19320,Alto,4,94,0,28,Familiares,Posgrado
MALO,17134,Alto,1,94,0,28,Familiares,Preparatoria
MALO,14968,Alto,2,94,0,28,Hipoteca,Licenciatura
MALO,20252,Alto,2,94,0,28,Renta,Posgrado
MALO,18900,Alto,1,94,0,28,Familiares,Posgrado
MALO,17604,Alto,4,94,0,28,Hipoteca,Posgrado
MALO,13884,Alto,5,95,0,28,Hipoteca,Preparatoria
MALO,19339,Alto,4,95,0,28,Propia,Posgrado
MALO,17168,Alto,5,95,0,28,Hipoteca,Posgrado
MALO,15013,Alto,1,96,0,28,Familiares,Preparatoria
MALO,20272,Alto,3,96,0,28,Propia,Preparatoria
MALO,18937,Alto,4,96,0,28,Hipoteca,Preparatoria
MALO,17656,Alto,5,96,0,28,Familiares,Posgrado
MALO,13898,Alto,4,96,0,28,Familiares,Posgrado
MALO,19378,Alto,2,97,0,28,Propia,Licenciatura
MALO,17219,Alto,3,97,0,28,Hipoteca,Preparatoria
MALO,15028,Alto,2,97,0,28,Familiares,Licenciatura
MALO,20313,Alto,2,97,0,28,Familiares,Licenciatura
MALO,18994,Alto,2,97,0,28,Hipoteca,Preparatoria
MALO,17674,Alto,5,97,0,28,Hipoteca,Licenciatura
MALO,13925,Alto,5,97,0,28,Hipoteca,Posgrado
MALO,19436,Alto,2,98,0,28,Familiares,Secundaria
MALO,17237,Alto,4,98,0,28,Familiares,Licenciatura
MALO,15058,Alto,3,98,0,28,Renta,Licenciatura
MALO,20374,Alto,4,98,0,28,Hipoteca,Posgrado
MALO,19013,Alto,1,99,0,28,Renta,Preparatoria
MALO,17709,Alto,2,99,0,28,Propia,Licenciatura
MALO,13967,Alto,3,99,0,28,Propia,Secundaria
MALO,19455,Alto,5,99,0,28,Hipoteca,Posgrado
MALO,17271,Alto,4,99,0,28,Renta,Posgrado
MALO,15104,Alto,3,100,0,28,Hipoteca,Licenciatura
MALO,20394,Alto,3,100,0,28,Renta,Posgrado
MALO,19051,Alto,0,100,0,28,Hipoteca,Preparatoria
MALO,17763,Alto,2,100,0,28,Familiares,Preparatoria
MALO,13981,Alto,2,101,0,28,Familiares,Licenciatura
MALO,19494,Alto,1,101,0,28,Renta,Preparatoria
MALO,17323,Alto,0,120,0,28,Renta,Posgrado
MALO,15119,Alto,0,130,0,28,Familiares,Licenciatura
MALO,20435,Alto,0,142,0,28,Familiares,Licenciatura
MALO,19108,Alto,3,163,0,28,Hipoteca,Licenciatura
BUENO,17780,Bajo,0,186,743,28,Hipoteca,Posgrado
REGULAR,14009,Medio ,1,187,686,28,Propia,Licenciatura
REGULAR,19553,Medio ,0,188,693,28,Familiares,Posgrado
BUENO,17340,Bajo,0,197,716,28,Propia,Preparatoria
BUENO,15149,Bajo,0,197,748,28,Renta,Preparatoria
BUENO,20496,Mínimo,0,197,758,28,Propia,Licenciatura
REGULAR,19127,Medio ,0,203,681,28,Propia,Posgrado
BUENO,17816,Mínimo,0,203,757,28,Hipoteca,Licenciatura
BUENO,14051,Mínimo,0,204,755,28,Familiares,Posgrado
REGULAR,19572,Bajo,0,207,744,28,Propia,Licenciatura
REGULAR,17375,Mínimo,0,213,775,28,Hipoteca,Licenciatura
BUENO,15194,Bajo,0,214,723,28,Familiares,Licenciatura
BUENO,20517,Mínimo,0,214,754,28,Familiares,Licenciatura
BUENO,19166,Bajo,0,215,704,28,Familiares,Licenciatura
BUENO,17869,Bajo,0,219,706,28,Renta,Licenciatura
REGULAR,14065,Mínimo,0,224,780,28,Familiares,Licenciatura
BUENO,19611,Bajo,0,225,744,28,Propia,Licenciatura
BUENO,17427,Mínimo,0,225,768,28,Propia,Posgrado
REGULAR,15210,Medio ,0,229,689,28,Renta,Preparatoria
BUENO,20558,Bajo,0,231,710,28,Propia,Posgrado
BUENO,19223,Bajo,0,231,727,28,Familiares,Preparatoria
BUENO,17887,Bajo,0,232,710,28,Renta,Licenciatura
REGULAR,14093,Mínimo,0,233,777,28,Propia,Posgrado
REGULAR,19670,Mínimo,0,234,786,28,Propia,Preparatoria
BUENO,17444,Bajo,0,235,740,28,Hipoteca,Licenciatura
REGULAR,15240,Medio ,0,236,694,28,Hipoteca,Licenciatura
BUENO,20620,Bajo,0,236,744,28,Familiares,Licenciatura
BUENO,19242,Mínimo,0,237,757,28,Familiares,Posgrado
BUENO,17923,Bajo,0,239,737,28,Renta,Preparatoria
REGULAR,14136,Bajo,0,245,706,28,Renta,Preparatoria
BUENO,19690,Bajo,0,245,737,28,Propia,Licenciatura
BUENO,17479,Bajo,0,248,740,28,Hipoteca,Preparatoria
REGULAR,15286,Bajo,0,250,734,28,Renta,Preparatoria
REGULAR,20640,Bajo,0,251,744,28,Hipoteca,Licenciatura
REGULAR,19281,Bajo,0,259,750,28,Familiares,Licenciatura
REGULAR,17977,Mínimo,0,263,784,28,Propia,Posgrado
BUENO,14150,Bajo,0,274,743,28,Renta,Preparatoria
MALO,19729,Alto,4,89,0,29,Renta,Preparatoria
MALO,17532,Alto,4,89,0,29,Propia,Posgrado
MALO,15301,Alto,4,89,0,29,Renta,Licenciatura
MALO,20681,Alto,4,90,0,29,Propia,Posgrado
MALO,19339,Alto,2,90,0,29,Renta,Secundaria
MALO,17995,Alto,3,90,0,29,Familiares,Preparatoria
MALO,14178,Alto,4,90,0,29,Hipoteca,Secundaria
MALO,19788,Alto,3,90,0,29,Propia,Secundaria
MALO,17549,Alto,2,90,0,29,Propia,Posgrado
MALO,15332,Alto,4,90,0,29,Hipoteca,Preparatoria
MALO,20743,Alto,2,90,0,29,Renta,Preparatoria
MALO,19358,Alto,4,90,0,29,Familiares,Preparatoria
MALO,18031,Alto,5,90,0,29,Propia,Preparatoria
MALO,14221,Alto,4,91,0,29,Hipoteca,Preparatoria
MALO,19808,Alto,2,91,0,29,Propia,Preparatoria
MALO,17584,Alto,4,91,0,29,Propia,Licenciatura
MALO,15378,Alto,3,91,0,29,Familiares,Licenciatura
MALO,20764,Alto,4,91,0,29,Hipoteca,Posgrado
MALO,19397,Alto,2,92,0,29,Renta,Preparatoria
MALO,18085,Alto,4,92,0,29,Hipoteca,Posgrado
MALO,14235,Alto,2,92,0,29,Hipoteca,Licenciatura
MALO,19848,Alto,5,92,0,29,Renta,Posgrado
MALO,17637,Alto,5,92,0,29,Hipoteca,Licenciatura
MALO,15393,Alto,5,92,0,29,Hipoteca,Licenciatura
MALO,20806,Alto,5,92,0,29,Familiares,Licenciatura
MALO,19455,Alto,2,92,0,29,Hipoteca,Posgrado
MALO,18103,Alto,3,92,0,29,Renta,Licenciatura
MALO,14263,Alto,1,93,0,29,Propia,Posgrado
MALO,19907,Alto,4,93,0,29,Familiares,Licenciatura
MALO,17655,Alto,3,93,0,29,Hipoteca,Posgrado
MALO,15424,Alto,2,93,0,29,Propia,Licenciatura
MALO,20868,Alto,1,93,0,29,Propia,Posgrado
MALO,19474,Alto,4,93,0,29,Hipoteca,Licenciatura
MALO,18139,Alto,3,93,0,29,Renta,Preparatoria
MALO,14306,Alto,4,93,0,29,Familiares,Preparatoria
MALO,19927,Alto,3,94,0,29,Renta,Licenciatura
